recipe_slug	score_bound	reward
apple-crumble	7.483314773547883	0.4120423946946797
ma-la-chicken	7.220058271252274	0.4760424543547509
quesadillas	7.207315700954247	0.3872005982640596
ramen	7.1869411954482425	0.0
chocolate-babka	6.9091835804088895	0.4813456325295596
spamburger	6.912427924713538	0.4494267985359725
pain-au-chocolat	6.905624585747556	0.323520881894247
bacon-fried-rice	6.852074824204586	1.0
nacho-fries	6.7211945485736715	0.4874804431774422
cranberry-sauce	6.659472865629867	0.4844177209794611
asparagus-quiche	6.588011837566545	0.3702249933411595
guacamole	6.488607521364587	0.340773501524382
strawberry-rhubarb-crisp	6.347215512097237	0.3280663467746445
bacon-wrapped-asparagus	6.316323747704406	1.0
bacon-wrapped-chicken	6.3043686953684155	1.0
apple-pie	6.23369571201026	0.3013981435395483
cold-noodles-with-tomatoes	6.215836740780505	0.3800961937277491
asparagus-burger	6.203051415009688	0.3143313130134574
brioche-bread	6.120422817442711	0.4573507983632254
dan-dan-noodles	6.082040649901609	0.4576858284828869
tamales	6.066532249849033	0.3315368068995981
mushroom-quiche	6.051346307010137	0.3533032055046821
taco-salad	5.9084964982461985	0.4863564957826791
apple-crisp	5.897225939580689	0.3994768452414352
bacon-mac-and-cheese	5.829886192539905	1.0
chicken-nuggets	5.802464760053776	0.2907855663127447
bacon-wrapped-shrimp-skewers	5.684599992496344	1.0
breakfast-burritos	5.665376652210246	0.3106645730499987
spam-musubi	5.607914852817859	0.2968878578323441
tacos	5.579486885956918	0.3789441410144198
croissants	5.510162470483031	0.3884306596231306
sujebi	5.467046111305136	0.4269305136100179
fajitas	5.440672717017997	0.0
croissant-aux-amandes	5.366304623488952	0.3046334107756178
chocolate-peanut-butter-cake	5.349946308063173	0.3203440384371659
quiche-lorraine	5.33301352709757	0.4990815224995137
nacho-salad	5.2465749379619675	0.4963242744927024
cranberry-apple-crisp	5.167187606575854	0.3625537961939349
souffle	5.154157901505344	0.4150693952827066
spinach-and-ricotta-lasagna	5.126029493095583	0.3269094264270372
bacon-wrapped-scallops	5.115695267582616	1.0
nachos	5.0826329436722455	0.3227535791940803
danishes	5.031932392081659	0.4487965529826953
enchiladas	5.032133860676955	0.4196898942551417
soba-noodle-salad-with-peanut-dressing	5.020412169267886	0.3298895690522087
vanilla-souffle	4.942268428118575	0.2957147741434072
loaded-nachos	4.9335389917339825	0.4178894770737946
cherry-pie	4.888776972081285	0.2789543781344661
bacon-egg-muffins	4.886513245064615	1.0
brownies	4.840924153871576	0.3228710148915968
ma-la-beef	4.755167209840422	0.4308978587891793
spinach-quiche	4.743826830653382	0.327991410321453
bacon-and-egg-breakfast-sandwich	4.696801042851317	1.0
maple-bacon-donuts	4.697065698686356	1.0
pickled-green-beans	4.67708387174544	0.3513152021811379
chicken-fingers	4.640083842855041	0.4348763650405409
brioche-bread-with-chocolate	4.604775890018549	0.4550558728335079
udon	4.577618064751979	0.4584614368583528
chiles-rellenos	4.572094386383731	0.3127697154904854
bolognese-sauce	4.5693851794287825	0.2861138760059636
bacon-wrapped-dates	4.550691534786359	1.0
maple-bacon-pancakes	4.513264841966111	1.0
cranberry-relish	4.507765393167006	0.3626388840279261
peach-crisp	4.50295793741981	0.2788399041975822
peanut-butter-cupcakes	4.494698770620407	0.0
falafel	4.464999498808785	0.3247680028208266
tempura-udon	4.458284289690509	0.29735960098445
burritos	4.426477089077404	0.4983034226034524
cold-sesame-noodles	4.425750763269919	0.4712857879617868
chicken-alfredo-lasagna	4.422914607879342	0.363110331835218
fried-oysters	4.352842516203762	0.3497696247931098
cold-soba-noodles-with-tomato-and-cucumber	4.326503843502573	0.4698382766157242
almond-croissants	4.302566939981691	0.4047358949974158
bacon-chocolate-chip-cookies	4.280152255390762	1.0
spinach-and-feta-quiche	4.2588897353604604	0.4792971881382072
pickled-asparagus	4.129897985357271	0.4733721028995945
peach-cobbler	4.094971295118197	0.4093697986100792
nacho-casserole	4.070742765073114	0.341202188560851
pico-de-gallo	4.031071991403497	0.361742343132453
classic-beef-lasagna	4.010423823183664	0.3719141239080656
nacho-dip	4.004768937777089	0.3384496803217145
french-toast	3.9831893662943476	0.0
almond-chip-cookies	3.9742456911194477	0.4930186523764426
pasta-primavera	3.8463334273104652	0.315669015401345
berry-crisp	3.8328469527161175	0.3447412833877151
chocolate-croissants	3.7247168619601667	0.0
lasagna	3.575280005622606	0.4153329867853361
blueberry-crumble	3.570628772416724	0.2799548024557945
chocolate-cake	3.4497741368937938	0.3977068222752271
cherry-cobbler	3.3436838925693606	0.4789825166688752
peanut-butter-brownies	3.2467019889978253	0.2914325128515199
bacon-souffle	3.2140930153913323	1.0
cinnamon-babka	3.1911113379321074	0.405868300341087
vegetarian-mushroom-lasagna	3.1713126920189714	0.0
blueberry-crisp	2.9629002781720377	0.0
spinach-and-ricotta-stuffed-shells	2.90599033527137	0.0
chocolate-souffle	2.8192093656236468	0.3110115345830189
butter-croissants	2.5943496099933916	0.2974726967561661
berry-crumble	2.5281925561078626	0.0
vegetable-lasagna	2.325553439298738	0.0
